epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.0481,1.42624,4.67203,1.64337,0,0,0,0,1.24587,4.21348,1.59878,0.00010336,0.00010336,0.00010336
2,20.4463,1.20558,4.41211,1.46841,0.02464,0.42602,0.08186,0.0468,1.22985,3.95904,1.55369,0.000203022,0.000203022,0.000203022
3,29.8268,1.21581,4.00231,1.46003,0.71913,0.15974,0.19694,0.12252,1.39736,3.45421,1.65275,0.000295648,0.000295648,0.000295648
4,38.9194,1.24516,3.58665,1.48204,0.5637,0.25825,0.28804,0.17255,1.52213,3.16927,1.69584,0.000291023,0.000291023,0.000291023
5,48.1687,1.2176,3.34075,1.46719,0.42007,0.30029,0.29533,0.1773,1.53855,2.97592,1.67059,0.000280364,0.000280364,0.000280364
6,57.1867,1.20686,3.06405,1.43407,0.50014,0.43042,0.42462,0.26337,1.49874,2.81707,1.73928,0.000269705,0.000269705,0.000269705
7,64.7644,1.20254,2.84479,1.42029,0.50699,0.44966,0.46743,0.2787,1.5834,2.62379,1.76844,0.000259046,0.000259046,0.000259046
8,72.4089,1.18987,2.66153,1.40836,0.57068,0.4542,0.48275,0.30931,1.48281,2.53465,1.70006,0.000248387,0.000248387,0.000248387
9,79.9235,1.13094,2.45864,1.39169,0.63716,0.49175,0.53927,0.35391,1.46471,2.39293,1.65351,0.000237728,0.000237728,0.000237728
10,87.3712,1.13068,2.37176,1.34415,0.50629,0.53692,0.5374,0.33901,1.46364,2.3067,1.66836,0.000227069,0.000227069,0.000227069
11,94.8414,1.10476,2.24987,1.32022,0.67042,0.54074,0.60204,0.38265,1.54463,2.15271,1.74967,0.00021641,0.00021641,0.00021641
12,102.484,1.05526,2.14782,1.32492,0.59148,0.54354,0.5751,0.36523,1.47851,2.19501,1.69684,0.000205751,0.000205751,0.000205751
13,109.99,1.07496,2.11282,1.30786,0.64541,0.5567,0.60125,0.37978,1.46954,2.23704,1.71106,0.000195092,0.000195092,0.000195092
14,117.567,1.05298,2.02822,1.28032,0.62179,0.59693,0.60599,0.39037,1.42406,1.97198,1.62684,0.000184433,0.000184433,0.000184433
15,125.077,1.04999,2.0219,1.303,0.65984,0.63193,0.65236,0.40929,1.49695,2.11925,1.75615,0.000173774,0.000173774,0.000173774
16,132.742,0.99552,1.89076,1.26703,0.61036,0.62882,0.6687,0.43851,1.43976,2.03474,1.62956,0.000163115,0.000163115,0.000163115
17,140.516,1.01202,1.82725,1.26888,0.59435,0.62242,0.62771,0.40255,1.45636,2.06042,1.64171,0.000152456,0.000152456,0.000152456
18,148.087,0.98963,1.85508,1.26316,0.63844,0.64921,0.65652,0.4201,1.49458,2.06546,1.64618,0.000141797,0.000141797,0.000141797
19,155.727,0.96713,1.75542,1.21982,0.72572,0.61454,0.63594,0.41336,1.49926,2.09795,1.7073,0.000131138,0.000131138,0.000131138
20,163.336,0.96422,1.74143,1.2474,0.70938,0.5955,0.63676,0.40016,1.46988,2.0347,1.72072,0.000120479,0.000120479,0.000120479
21,171.576,1.00499,2.31915,1.32964,0.67456,0.61879,0.63962,0.38799,1.49694,2.23542,1.79567,0.00010982,0.00010982,0.00010982
22,179.255,0.93248,2.18342,1.25451,0.73027,0.62442,0.65042,0.42316,1.43732,2.0672,1.69758,9.9161e-05,9.9161e-05,9.9161e-05
23,187.228,0.90387,2.08318,1.25172,0.70421,0.6267,0.65765,0.43048,1.42089,2.01876,1.66954,8.8502e-05,8.8502e-05,8.8502e-05
24,194.841,0.8779,2.03402,1.23122,0.73447,0.62607,0.69015,0.46324,1.49399,1.9214,1.65713,7.7843e-05,7.7843e-05,7.7843e-05
25,202.341,0.85221,1.96259,1.21336,0.73083,0.67792,0.70323,0.45738,1.50931,1.85197,1.64943,6.7184e-05,6.7184e-05,6.7184e-05
26,209.893,0.84889,1.89468,1.18788,0.68367,0.67435,0.70672,0.47267,1.46433,1.84693,1.65709,5.6525e-05,5.6525e-05,5.6525e-05
27,217.417,0.82062,1.88171,1.19553,0.70655,0.66886,0.7067,0.46887,1.41623,1.79089,1.61061,4.5866e-05,4.5866e-05,4.5866e-05
28,225.095,0.79872,1.83761,1.16613,0.73319,0.67001,0.69681,0.47222,1.47096,1.80355,1.64683,3.5207e-05,3.5207e-05,3.5207e-05
29,232.569,0.79858,1.79315,1.15651,0.73749,0.70315,0.71396,0.47959,1.4462,1.77801,1.64823,2.4548e-05,2.4548e-05,2.4548e-05
30,240.077,0.78937,1.7896,1.14619,0.742,0.67391,0.70207,0.47098,1.4324,1.7867,1.65078,1.3889e-05,1.3889e-05,1.3889e-05
